summary,value
total_data_rows,96
already_has_branch_code,1
filled_branch_code,93
blank_branch_name_rows_skipped,2
ambiguous_rows,0
unmatched_rows,0

filled_rows
csv_row_number,main_branch_code,branch_name,filled_cost_center,match_method,matched_costcenter_name
28,218,(ศ.10) ศูนย์ฯ บ้านนาบัว,2004784,main_branch_code + branch_name,(ศ.8) ศูนย์ฯ บ้านนาบัว (ย.11) | ศูนย์ฯ บ้านนาบัว
29,349,(ศ.11) ศูนย์ฯ บ้านโคก (โคกโพธิ์ไชย),2008329,main_branch_code + branch_name,(ศ.6) ศูนย์ฯ บ้านโคก (โคกโพธิ์ไชย) (ย.6) | ศูนย์ฯ บ้านโคก (โคกโพธิ์ไชย)
30,385,(ย่อย 6) บ้านหนองเรือ (ป่าแขม),2008767,main_branch_code + branch_name,(ย่อย 3) บ้านหนองเรือ (ป่าแขม) | ย่อย บ้านหนองเรือ (ป่าแขม)
31,136,(ย่อย 3) ถนนโชคชัย 4 ซอย 7 กรุงเทพฯ,2002718,main_branch_code + branch_name,(ย่อย 9) ถนนโชคชัย 4 ซอย 7 กรุงเทพฯ | ย่อย ถนนโชคชัย 4 ซอย 7 กรุงเทพฯ
32,221,(ย่อย 3) วังศาลา,2001806,main_branch_code + branch_name,(ย่อย 1) วังศาลา | ย่อย วังศาลา
33,235,(ศ.6) ศูนย์ฯ บ้านเขาหญ้านาง,2004859,main_branch_code + branch_name,(ศ.8) ศูนย์ฯ บ้านเขาหญ้านาง (ย.6) | ศูนย์ฯ บ้านเขาหญ้านาง
34,245,(ย่อย 10) บ้านทวน,2005759,main_branch_code + branch_name,(ย่อย 10) บ้านทวน | ย่อย บ้านทวน
35,103,(ย่อย 3) ดอนตาล,2001545,main_branch_code + branch_name,(ย่อย 5) ดอนตาล | ย่อย ดอนตาล
36,245,(ย่อย 2) ห้วยกระเจา,2001677,main_branch_code + branch_name,(ย่อย 6) ห้วยกระเจา | ย่อย ห้วยกระเจา
37,83,(ศ.15) ศูนย์ฯ หน้าโรงเรียนบ้านดวนใหญ่,2008877,main_branch_code + branch_name,(ศ.9) ศูนย์ฯ หน้าโรงเรียนบ้านดวนใหญ่ (ย.9) | ศูนย์ฯ หน้าโรงเรียนบ้านดวนใหญ่
38,295,(ย่อย 9) สระยายโสม,2000932,main_branch_code + branch_name,(ย่อย 22) สระยายโสม | ย่อย สระยายโสม
39,389,(ย่อย 7) บ้านกุดเรือคำ,2002194,main_branch_code + branch_name,(ย่อย 8) บ้านกุดเรือคำ | ย่อย บ้านกุดเรือคำ
40,49,(ย่อย 16) โคกหัวช้าง,2007672,main_branch_code + branch_name,(ย่อย 5) โคกหัวช้าง | ย่อย โคกหัวช้าง
41,185,(ศ.6) ศูนย์ฯ สี่แยกไฟแดงสะพานดำ,2005724,main_branch_code + branch_name,(ศ.1) ศูนย์ฯ สี่แยกไฟแดงสะพานดำ (ย.12) | ศูนย์ฯ สี่แยกไฟแดงสะพานดำ
42,49,(ย่อย 4) ถนนธานี,2002598,main_branch_code + branch_name,(ย่อย 3) ถนนธานี | ย่อย ถนนธานี
43,85,(ย่อย 3) หนองน้ำใส,2001159,main_branch_code + branch_name,(ย่อย 9) หนองน้ำใส | ย่อย หนองน้ำใส
44,316,(ย่อย 2) คำเขื่อนแก้ว,2000879,main_branch_code + branch_name,(ย่อย 7) คำเขื่อนแก้ว | ย่อย คำเขื่อนแก้ว
45,131,ถนนลาดหญ้า วงเวียนใหญ่,2001727,main_branch_code + branch_name,ถนนลาดหญ้า วงเวียนใหญ่ | ถนนลาดหญ้า วงเวียนใหญ่
46,107,(ย่อย 5) รังกาใหญ่,2001496,main_branch_code + branch_name,(ย่อย 11) รังกาใหญ่ | ย่อย รังกาใหญ่
47,302,(ศ.9) ศูนย์ฯ กุแหระ,2008625,main_branch_code + branch_name,(ศ.7) ศูนย์ฯ กุแหระ (ย.1) | ศูนย์ฯ กุแหระ
48,106,(ศ.2) ศูนย์ฯ นาท่อม,2003849,main_branch_code + branch_name,(ศ.2) ศูนย์ฯ นาท่อม (ย.3) | ศูนย์ฯ นาท่อม
